,Africa,Americas,Asia,Boat,Europe,Oceania
2020-07-29,902952,9164737,3887818,721,2830823,17948
2020-07-30,920623,9325631,3967957,721,2850647,18553
2020-07-31,939917,9489001,4054922,721,2870392,18941
2020-08-01,957160,9627970,4131051,721,2884756,19578
2020-08-02,970046,9751142,4211687,721,2897623,20022
2020-08-03,981143,9846141,4285689,721,2922592,20435
2020-08-04,991287,9993588,4363724,721,2943105,21155
2020-08-05,1006956,10148203,4448020,721,2963438,21639
2020-08-06,1021617,10305995,4537290,721,2985372,22031
2020-08-07,1035433,10459853,4626527,721,3009064,22482
2020-08-08,1049847,10597653,4716153,721,3024184,22868
2020-08-09,1062483,10709246,4801301,721,3037969,23207
2020-08-10,1071917,10816769,4881235,721,3065597,23524
2020-08-11,1080165,10960618,4965424,721,3085284,23938
2020-08-12,1089732,11108856,5059335,721,3108680,24261
2020-08-13,1100432,11267382,5150307,721,3136073,24643
2020-08-14,1113320,11436430,5243564,721,3163102,24943
2020-08-15,1125454,11560903,5333342,721,3182904,25208
2020-08-16,1135788,11664283,5415543,721,3199935,25540
2020-08-17,1144970,11754251,5491932,721,3230658,25777
2020-08-18,1154069,11887642,5583290,721,3253567,26013
2020-08-19,1165264,12029603,5680138,721,3281598,26265
2020-08-20,1176256,12163968,5775273,721,3311858,26461
2020-08-21,1186852,12285242,5870933,721,3344043,26662
2020-08-22,1197448,12422343,5964583,721,3365449,26874
2020-08-23,1206827,12515306,6047091,721,3385410,27027
2020-08-24,1214754,12609838,6131560,721,3422293,27172
2020-08-25,1222762,12736812,6211682,721,3449322,27346
2020-08-26,1232094,12872633,6322877,721,3475523,27471
2020-08-27,1241171,13004245,6424439,721,3515383,27614
2020-08-28,1249854,13140582,6526265,721,3550641,27755
2020-08-29,1258641,13267444,6628978,721,3574361,27880
2020-08-30,1267634,13354559,6730412,721,3596230,27971
2020-08-31,1274964,13473449,6822503,721,3639261,28058
2020-09-01,1282673,13597357,6924209,721,3669045,28169
2020-09-02,1291981,13725884,7032472,721,3704708,28308
2020-09-03,1300324,13850956,7141771,721,3741661,28400
2020-09-04,1309573,13999557,7254802,721,3783168,28482
2020-09-05,1317398,14117195,7367887,721,3812764,28569
2020-09-06,1325773,14196464,7482764,721,3839216,28625
2020-09-07,1333301,14255246,7581518,721,3890214,28683
2020-09-08,1341564,14334035,7697641,721,3927449,28787
2020-09-09,1350415,14443567,7821049,721,3968596,28852
2020-09-10,1359210,14561823,7946695,721,4014319,28896
2020-09-11,1368494,14696274,8073495,721,4063383,28942
2020-09-12,1376554,14813260,8195655,721,4101264,28988
2020-09-13,1383970,14898795,8314344,721,4130718,29032
2020-09-14,1391241,14984329,8427681,721,4186559,29083
2020-09-15,1398695,15097087,8547434,721,4230323,29123
2020-09-16,1406761,15212096,8676047,721,4281258,29170
2020-09-17,1416203,15333702,8803163,721,4336372,29218
2020-09-18,1424922,15463815,8927466,721,4397320,29244
2020-09-19,1434251,15578726,9049166,721,4441939,29261
2020-09-20,1443353,15666275,9164396,721,4480626,29276
2020-09-21,1449966,15764423,9268138,721,4546503,29306
2020-09-22,1457234,15870624,9383726,721,4600207,29355
2020-09-23,1466464,15953083,9505340,721,4661228,29366
2020-09-24,1475158,16108910,9626746,721,4726583,29392
2020-09-25,1483507,16239257,9747228,721,4796584,29411
2020-09-26,1490207,16347469,9867396,721,4848407,29437
2020-09-27,1499026,16432351,9978874,721,4893183,29441
2020-09-28,1505113,16514295,10075579,721,4961824,29454
2020-09-29,1513042,16626842,10187893,721,5010220,29480
2020-09-30,1521834,16739502,10311847,721,5089602,29510
2020-10-01,1529517,16860676,10429504,721,5159965,29528
2020-10-02,1538818,16955969,10544638,721,5236545,29541
2020-10-03,1547960,17100443,10650384,721,5307764,29561
2020-10-04,1556466,17172108,10756695,721,5381288,29575
2020-10-05,1561639,17287062,10851992,721,5465273,29603
2020-10-06,1568711,17413770,10958659,721,5549766,29615
2020-10-07,1579662,17538738,11073480,721,5648436,29643
2020-10-08,1590986,17668951,11180331,721,5759728,29673
2020-10-09,1599951,17796156,11285481,721,5877631,29695
2020-10-10,1613766,17921861,11391681,721,5987386,29715
2020-10-11,1623095,18013367,11488722,721,6074852,29742
2020-10-12,1629367,18094068,11577186,721,6189562,29781
2020-10-13,1637717,18193194,11674902,721,6301953,29810
2020-10-14,1649683,18316235,11777608,721,6444881,29845
2020-10-15,1659241,18455539,11877417,721,6601458,29864
2020-10-16,1670261,18598384,11976035,721,6758943,29874
2020-10-17,1684835,18716116,12070738,721,6902824,29892
2020-10-18,1693417,18800713,12159934,721,7035200,29901
2020-10-19,1703586,18930722,12239807,721,7200352,29908
2020-10-20,1713875,19058232,12328346,721,7361054,29971
2020-10-21,1724852,19193305,12424406,721,7561778,29989
2020-10-22,1736328,19342347,12519121,721,7777172,30019
2020-10-23,1747208,19496066,12614195,721,8012035,30049
2020-10-24,1759357,19647177,12700542,721,8217170,30068
2020-10-25,1768904,19759945,12783298,721,8370688,30085
2020-10-26,1780132,19878832,12853326,721,8654759,30105
2020-10-27,1789358,20024996,12935495,721,8885152,30125
2020-10-28,1801678,20174440,13026057,721,9142385,30145
2020-10-29,1813372,20335832,13116439,721,9427043,30162
2020-10-30,1827475,20500737,13205781,721,9727299,30175
2020-10-31,1838994,20648905,13290106,721,9957911,30187
2020-11-01,1849830,20795304,13375158,721,10175962,30197
2020-11-02,1858131,20921216,13455500,721,10522212,30217
2020-11-03,1869638,21094071,13545688,721,10799042,30239
2020-11-04,1884322,21266326,13640011,721,11026931,30249
2020-11-05,1900297,21434750,13733883,721,11342893,30263
2020-11-06,1912571,21644627,13832680,721,11664353,30273
2020-11-07,1928019,21832109,13923814,721,11964544,30285
2020-11-08,1941018,21989131,14015720,721,12184204,30298
2020-11-09,1950587,22152153,14098172,721,12428109,30306
2020-11-10,1964344,22352831,14190722,721,12677968,30310
2020-11-11,1978987,22589484,14288448,721,12974851,30318
2020-11-12,1995487,22829434,14384233,721,13269313,30323
2020-11-13,2010895,23081071,14480140,721,13555379,30333
2020-11-14,2025619,23325381,14570642,721,13797665,30365
2020-11-15,2039053,23504622,14648592,721,13997718,30405
2020-11-16,2050193,23712718,14725262,721,14232940,30418
2020-11-17,2064129,23942588,14814906,721,14506866,30443
2020-11-18,2080681,24184550,14916427,721,14769706,30456
2020-11-19,2095725,24447399,15018042,721,15039231,30466
2020-11-20,2112930,24724459,15120144,721,15306485,30486
2020-11-21,2127772,24974695,15216988,721,15526571,30510
2020-11-22,2141941,25172198,15314766,721,15699070,30525
2020-11-23,2153570,25397742,15403662,721,15891571,30561
2020-11-24,2167884,25642524,15502000,721,16116995,30583
2020-11-25,2184271,25916584,15603365,721,16354565,30611
2020-11-26,2199960,26108879,15704252,721,16592146,30626
2020-11-27,2217935,26400502,15804176,721,16825249,30643
2020-11-28,2232792,26651987,15900438,721,17018567,30649
2020-11-29,2247558,26851195,15995036,721,17169281,30665
2020-11-30,2259970,27069472,16077359,721,17333663,30693
2020-12-01,2273165,27347191,16168031,721,17534039,30718
2020-12-02,2291766,27644264,16261403,721,17744443,30743
2020-12-03,2309983,27967229,16358046,721,17968553,30755
2020-12-04,2329933,28291329,16449883,721,18183188,30773
2020-12-05,2346057,28595276,16540383,721,18382875,30782
2020-12-06,2361460,28838502,16627950,721,18545023,30790
2020-12-07,2373808,29087547,16702879,721,18696562,30811
2020-12-08,2388417,29400432,16787131,721,18895124,30833
2020-12-09,2409696,29720089,16871751,721,19107760,30840
2020-12-10,2430717,30052551,16955546,721,19345455,30855
2020-12-11,2451541,30392316,17036161,721,19576588,30905
2020-12-12,2471151,30697167,17116295,721,19777695,30914
2020-12-13,2489012,30942818,17187819,721,19946557,30928
2020-12-14,2501694,31202743,17251488,721,20105043,30939
2020-12-15,2522003,31500871,17324953,721,20318199,30959
2020-12-16,2545425,31865097,17400074,721,20559420,30971
2020-12-17,2568082,32227833,17472279,721,20813819,31033
2020-12-18,2589259,32583987,17544873,721,21057903,31066
2020-12-19,2612123,32875616,17617970,721,21259311,31114
2020-12-20,2631976,33133326,17683747,721,21429070,31149
2020-12-21,2650059,33399219,17743166,721,21615831,31171
2020-12-22,2671606,33703451,17811834,721,21852349,31196
2020-12-23,2699205,34034703,17881285,721,22099480,31221
2020-12-24,2727953,34335720,17950582,721,22348914,31252
2020-12-25,2755256,34508963,18017551,721,22529383,31275
2020-12-26,2777943,34784592,18076947,721,22669108,31302
2020-12-27,2797807,34997295,18133441,721,22804252,31331
2020-12-28,2814235,35235712,18187799,721,22976126,31350
2020-12-29,2835512,35553556,18253493,721,23219878,31385
2020-12-30,2867406,35904558,18320773,721,23515180,31420
2020-12-31,2898463,36264524,18370400,721,23785128,31440
2021-01-01,2927390,36484155,18433866,721,23993884,31475
2021-01-02,2951373,36838179,18512116,721,24152748,31518
2021-01-03,2974295,37111356,18571369,721,24320261,31557
2021-01-04,2997096,37366429,18630784,721,24523360,31575
2021-01-05,3024884,37721496,18698400,721,24798482,31598
2021-01-06,3061764,38111976,18771532,721,25067501,31610
2021-01-07,3098161,38548986,18846413,721,25387829,31635
2021-01-08,3135456,38971482,18902009,721,25662209,31658
2021-01-09,3171182,39366582,18997143,721,25889589,31702
2021-01-10,3203488,39664664,19064123,721,26072184,31724
2021-01-11,3232292,39969367,19127796,721,26284667,31752
2021-01-12,3259217,40329532,19199430,721,26521605,31778
2021-01-13,3294015,40694133,19276243,721,26784194,31798
2021-01-14,3328979,41071306,19353101,721,27041430,31826
2021-01-15,3361191,41478448,19427223,721,27286801,31846
2021-01-16,3389186,41819045,19505181,721,27471803,31877
2021-01-17,3416217,42090549,19573620,721,27627567,31896
2021-01-18,3439217,42309239,19631948,721,27836725,31906
2021-01-19,3463165,42616873,19699508,721,28039159,31920
2021-01-20,3491999,42951483,19774488,721,28287209,31930
2021-01-21,3520337,43278482,19844229,721,28512134,31946
2021-01-22,3547010,43605671,19913548,721,28742026,31951
2021-01-23,3574767,43903849,19980552,721,28911324,31964
2021-01-24,3595295,44122822,20041901,721,29050824,31980
2021-01-25,3612460,44349258,20095630,721,29245166,31985
2021-01-26,3631567,44632558,20163342,721,29424135,32011
2021-01-27,3652997,44913025,20235354,721,29640418,32024
2021-01-28,3674374,45213724,20310548,721,29850741,32035
2021-01-29,3694171,45504131,20379977,721,30054620,32040
2021-01-30,3712424,45771405,20447102,721,30210408,32046
2021-01-31,3728579,45954095,20507732,721,30325995,32053
2021-02-01,3741771,46151544,20565519,721,30496580,32077
2021-02-02,3757105,46365885,20626626,721,30655937,32084
2021-02-03,3773037,46609703,20694543,721,30842114,32099
2021-02-04,3790172,46827942,20758946,721,31001315,32105
2021-02-05,3806551,47081821,20819467,721,31198026,32135
2021-02-06,3820566,47239961,20880932,721,31328616,32143
2021-02-07,3832862,47451191,20939861,721,31437541,32153
2021-02-08,3844887,47570244,20990679,721,31563408,32163
2021-02-09,3857000,47789707,21049381,721,31692503,32176
2021-02-10,3870879,47984991,21111144,721,31848655,32185
2021-02-11,3883548,48194703,21167846,721,32003404,32209
2021-02-12,3898135,48394343,21226326,721,32151594,32216
2021-02-13,3909649,48572581,21281177,721,32272562,32224
2021-02-14,3920778,48703456,21332884,721,32366395,32232
2021-02-15,3931511,48815286,21383580,721,32468348,32239
2021-02-16,3942581,48964401,21443461,721,32591338,32289
2021-02-17,3955938,49130136,21504707,721,32739224,32294
2021-02-18,3970458,49298189,21563665,721,32893631,32304
2021-02-19,3982040,49477691,21623022,721,33048586,32308
2021-02-20,3992197,49646998,21677377,721,33177338,32329
2021-02-21,4003037,49772444,21737099,721,33289208,32340
2021-02-22,4013388,49881059,21795041,721,33392523,32439
2021-02-23,4022536,50053700,21858403,721,33527050,32498
2021-02-24,4034456,50239663,21924022,721,33698869,32538
2021-02-25,4048252,50428677,21989107,721,33868769,32640
2021-02-26,4060910,50619793,22053522,721,34034028,32651
2021-02-27,4069802,50785433,22113545,721,34179307,32707
2021-02-28,4080919,50893141,22171690,721,34297252,32717
2021-03-01,4091476,51020029,22229385,721,34398642,32819
2021-03-02,4101157,51177710,22292413,721,34466683,32831
2021-03-03,4114082,51351776,22359911,721,34641787,32851
2021-03-04,4128341,51535897,22428177,721,34816848,32865
2021-03-05,4138736,51717933,22496363,721,34991831,33009
2021-03-06,4150208,51886284,22560201,721,35146917,33015
2021-03-07,4160867,52039404,22625171,721,35275116,33124
2021-03-08,4171886,52147917,22689852,721,35376278,33235
2021-03-09,4181543,52319778,22757893,721,35527600,33320
2021-03-10,4193960,52492601,22831485,721,35721255,33342
2021-03-11,4210582,52676435,22908430,721,35906601,33433
2021-03-12,4222389,52870134,22985700,721,36097991,33448
2021-03-13,4234482,53041863,23057852,721,36281233,33454
2021-03-14,4245012,53155409,23133679,721,36427954,33828
2021-03-15,4255722,53279806,23209894,721,36549908,33933
2021-03-16,4266894,53455148,23293688,721,36735752,34034
2021-03-17,4280208,53660210,23388445,721,36942965,34046
2021-03-18,4293617,53850629,23486929,721,37174158,34202
2021-03-19,4308129,54062081,23586071,721,37389504,34390
2021-03-20,4318812,54237185,23683620,721,37583482,34830
2021-03-21,4330153,54364770,23786624,721,37744412,34849
2021-03-22,4342078,54499025,23883117,721,37896049,35128
2021-03-23,4352732,54690240,23989516,721,38075412,35545
2021-03-24,4365659,54909695,24104679,721,38331311,35911
2021-03-25,4380111,55140549,24229309,721,38583969,35923
2021-03-26,4400166,55367279,24355463,721,38822727,36489
2021-03-27,4410840,55570665,24477180,721,39040891,36497
2021-03-28,4421554,55705594,24609733,721,39203640,37049
2021-03-29,4433047,55862016,24728727,721,39342537,37236
2021-03-30,4444626,56054170,24851268,721,39546943,37517
2021-03-31,4459666,56284884,24993462,721,39802494,37911
2021-04-01,4484102,56525101,25148806,721,40053334,38043
2021-04-02,4499528,56718028,25310655,721,40269461,38414
2021-04-03,4509898,56876717,25478154,721,40422069,38565
2021-04-04,4522207,56995711,25658389,721,40620862,38999
2021-04-05,4534095,57158555,25823363,721,40727911,39392
2021-04-06,4546210,57377866,26017359,721,40858385,39413
2021-04-07,4560556,57619595,26228977,721,41020040,39671
2021-04-08,4580269,57879044,26451249,721,41302299,39887
2021-04-09,4595188,58145887,26686849,721,41477174,39904
2021-04-10,4606411,58365626,26921936,721,41622439,40419
