Date,Real new cases,Pred new cases
2020-01-23,0.0,2200.2857523280177
2020-01-24,2.0,1881.301052097328
2020-01-25,1.0,1283.926669234703
2020-01-26,0.0,59.97739271846922
2020-01-27,0.0,-771.0871767755923
2020-01-28,1.0,539.0133044620408
2020-01-29,1.0,-461.31615642315455
2020-01-30,0.0,2218.669500503161
2020-01-31,0.0,1899.6848002712431
2020-02-01,1.0,1302.3104174096184
2020-02-02,0.0,78.36114088611282
2020-02-03,0.0,-752.703428605029
2020-02-04,0.0,557.3970524796964
2020-02-05,0.0,-442.93240855658576
2020-02-06,0.0,2237.053248211034
2020-02-07,0.0,1918.0685478279474
2020-02-08,5.0,1320.6941648092607
2020-02-09,0.0,96.74488814615631
2020-02-10,0.0,-734.3196815044271
2020-02-11,0.0,575.7807995811818
2020-02-12,0.0,-424.5486614548263
2020-02-13,0.0,2255.436995315444
2020-02-14,0.0,1936.4522949301067
2020-02-15,1.0,1339.0779119134422
2020-02-16,0.0,115.12863403638016
2020-02-17,0.0,-715.935936817198
2020-02-18,0.0,594.164543061007
2020-02-19,0.0,-406.16491917915687
2020-02-20,0.0,2273.82073637865
2020-02-21,0.0,1954.8360347921487
2020-02-22,0.0,1357.461650572285
2020-02-23,0.0,133.51237268648686
2020-02-24,0.0,-697.5521981594668
2020-02-25,2.0,612.5482817160882
2020-02-26,4.0,-387.78118052420086
2020-02-27,20.0,2292.204487570209
2020-02-28,19.0,1973.2197985269972
2020-02-29,43.0,1375.8454268489022
2020-03-01,30.0,151.89616150860695
2020-03-02,61.0,-679.1683968108697
2020-03-03,21.0,630.9320956096481
2020-03-04,76.0,-369.39735409430295
2020-03-05,138.0,2310.5883140034493
2020-03-06,190.0,1991.6036249562367
2020-03-07,332.0,1394.2292532792735
2020-03-08,177.0,170.27998793693814
2020-03-09,286.0,-660.7845433833783
2020-03-10,372.0,649.315976027569
2020-03-11,510.0,-351.01344668419995
2020-03-12,0.0,2328.972248408511
2020-03-13,1388.0,2009.9875863556963
2020-03-14,815.0,1412.61324166349
2020-03-15,36.0,188.66400332159446
2020-03-16,2151.0,-642.4005280052023
2020-03-17,1032.0,667.6999914050275
2020-03-18,1409.0,-332.62943130421115
2020-03-19,1846.0,2347.356263790495
2020-03-20,1788.0,2028.3716017321117
2020-03-21,1705.0,1430.9972559742134
2020-03-22,2295.0,207.0480165644766
2020-03-23,3365.0,-624.0165158204964
2020-03-24,2249.0,686.0840025232833
2020-03-25,2962.0,-314.24542125716505
2020-03-26,3918.0,2365.7402727724916
2020-03-27,3795.0,2046.7556096512383
2020-03-28,4645.0,1449.3812638953627
2020-03-29,2603.0,225.43202448344005
2020-03-30,4354.0,-605.6325078989946
2020-03-31,7629.0,704.4680104397355
2020-04-01,4844.0,-295.8614148411897
2020-04-02,2106.0,2384.1242776877116
2020-04-03,5224.0,2065.1396130567873
2020-04-04,-17074.0,1467.76526580043
2020-04-05,855.0,243.81602488986653
2020-04-06,2654.0,-587.2485090038306
2020-04-07,-3491.0,722.8520078370366
2020-04-08,3855.0,-277.47741744401367
2020-04-09,3784.0,2402.508275084947
2020-04-10,1565.0,2083.5236104500223
2020-04-11,1445.0,1486.1492632000281
2020-04-12,50746.0,262.20002372545025
2020-04-13,3141.0,-568.8645087275364
2020-04-14,17448.0,741.236009548852
2020-04-15,3208.0,-259.0934142938245
2020-04-16,12578.0,2420.892279667246
2020-04-17,1891.0,2101.907616480968
2020-04-18,3806.0,1504.5332706563627
2020-04-19,1092.0,280.5840311849762
2020-04-20,2447.0,-550.4805012643185
2020-04-21,2666.0,759.620017012954
2020-04-22,1800.0,-240.70940682944922
2020-04-23,-1710.0,2439.276287131681
2020-04-24,2811.0,2120.2916205497268
2020-04-25,1678.0,1522.9172713398098
2020-04-26,633.0,298.9680284745624
2020-04-27,3686.0,-532.096507368574
2020-04-28,3132.0,778.0040075190782
2020-04-29,-1455.0,-222.32541971447006
2020-04-30,1218.0,2457.66027085698
2020-05-01,526.0,2138.675604278139
2020-05-02,792.0,1541.3012550663452
2020-05-03,361.0,317.3520121923617
2020-05-04,562.0,-513.7125236470831
2020-05-05,1117.0,796.3879957149962
2020-05-06,4136.0,-203.9414270455336
2020-05-07,741.0,2476.04426799912
2020-05-08,531.0,2157.059605889423
2020-05-09,529.0,1559.6852611519053
2020-05-10,249.0,335.73602275919745
2020-05-11,314.0,-495.32850860965004
2020-05-12,753.0,814.7720107477787
2020-05-13,521.0,-185.55741201415856
2020-05-14,642.0,2494.428283036429
2020-05-15,513.0,2175.443620924481
2020-05-16,415.0,1578.0692742482013
2020-05-17,140.0,354.1200339179012
2020-05-18,444.0,-476.9444993875121
2020-05-19,501.0,833.1560180383515
2020-05-20,482.0,-167.17340665693496
2020-05-21,267.0,2512.812286455241
2020-05-22,756.0,2193.8276224106717
2020-05-23,546.0,1596.4532757364145
2020-05-24,-439.0,372.5040354067853
2020-05-25,325.0,-458.56049789894575
2020-05-26,255.0,851.540019524268
2020-05-27,172.0,-148.78940517081617
2020-05-28,3343.0,2531.196287313425
2020-05-29,594.0,2212.2116226541393
2020-05-30,1795.0,1614.8372753590088
2020-05-31,231.0,390.8880344053206
2020-06-01,407.0,-440.1764995276101
2020-06-02,-647.0,869.9240172789464
2020-06-03,-3226.0,-130.40540803813667
2020-06-04,4360.0,2549.580284446164
2020-06-05,581.0,2230.595619782878
2020-06-06,572.0,1633.221272488879
2020-06-07,341.0,409.27203153823666
2020-06-08,274.0,-421.79250011035083
2020-06-09,553.0,888.3080189749612
2020-06-10,625.0,-112.0214040600431
