Date,Lockdowns,Real new cases,Pred new cases
2020-01-23,False,0.0,-303.67413576290846
2020-01-24,False,2.0,-710.5747461054732
2020-01-25,False,1.0,-1295.386697300139
2020-01-26,False,0.0,-2502.9486536108634
2020-01-27,False,0.0,-3221.83804189689
2020-01-28,False,1.0,-1939.5197109051053
2020-01-29,False,1.0,-2927.8704761047475
2020-01-30,False,0.0,-198.9556056571637
2020-01-31,False,0.0,-605.856216000567
2020-02-01,False,1.0,-1190.6681671944882
2020-02-02,False,0.0,-2398.2301235124874
2020-02-03,False,0.0,-3117.119511795676
2020-02-04,False,0.0,-1834.8011839174223
2020-02-05,False,0.0,-2823.151952228356
2020-02-06,False,0.0,-94.23708490008039
2020-02-07,False,0.0,-501.13769835527864
2020-02-08,False,5.0,-1085.9496526668033
2020-02-09,False,0.0,-2293.5116120847783
2020-02-10,False,0.0,-3012.4010034881385
2020-02-11,False,0.0,-1730.082675608848
2020-02-12,False,0.0,-2718.433443919469
2020-02-13,False,0.0,10.481423411156129
2020-02-14,False,0.0,-396.4191900462404
2020-02-15,False,1.0,-981.2311443556604
2020-02-16,False,0.0,-2188.793100928744
2020-02-17,False,0.0,-2907.6824894762676
2020-02-18,False,0.0,-1625.3641587456716
2020-02-19,False,0.0,-2613.7149242016485
2020-02-20,False,0.0,115.19994597592154
2020-02-21,False,0.0,-291.7006646242028
2020-02-22,False,0.0,-876.5126160778973
2020-02-23,False,0.0,-2084.07457265971
2020-02-24,False,0.0,-2802.9639611994767
2020-02-25,False,2.0,-1520.6456304716353
2020-02-26,False,4.0,-2508.9963959275956
2020-02-27,False,20.0,219.91847527431173
2020-02-28,False,19.0,-186.98213429457746
2020-02-29,False,43.0,-771.7940847184576
2020-03-01,False,30.0,-1979.3560402669837
2020-03-02,False,61.0,-2698.245427792309
2020-03-03,False,21.0,-1415.9270960313381
2020-03-04,False,76.0,-2404.2778604631444
2020-03-05,False,138.0,324.6370107422506
2020-03-06,False,190.0,-82.26359883065538
2020-03-07,False,332.0,-667.0755492534079
2020-03-08,False,177.0,-1874.6375048039786
2020-03-09,False,286.0,-2593.5268838466063
2020-03-10,False,372.0,-1311.2085436117875
2020-03-11,False,510.0,-2299.5592995678053
2020-03-12,False,0.0,429.355580115712
2020-03-13,False,1388.0,22.454979020632663
2020-03-14,False,815.0,-562.3569629337267
2020-03-15,False,36.0,-1769.9189100002309
2020-03-16,False,2151.0,-2488.808289049529
2020-03-17,True,1032.0,-1206.4899488155709
2020-03-18,True,1409.0,2811.1904394308885
2020-03-19,True,1846.0,5540.105319116489
2020-03-20,True,1788.0,5133.204718016316
2020-03-21,True,1705.0,4548.392775438794
2020-03-22,True,2295.0,3340.8308277473143
2020-03-23,True,3365.0,2621.941448082842
2020-03-24,True,2249.0,3904.2597876933087
2020-03-25,True,2962.0,2915.909031111088
2020-03-26,True,3918.0,5644.8239101748095
2020-03-27,True,3795.0,5237.9233084543785
2020-03-28,True,4645.0,4653.11136587896
2020-03-29,True,2603.0,3445.5494181853755
2020-03-30,True,4354.0,2726.6600385234897
2020-03-31,True,7629.0,4008.978378128712
2020-04-01,True,4844.0,3020.6276240893512
2020-04-02,True,2106.0,5749.54250569551
2020-04-03,True,5224.0,5342.641906508847
2020-04-04,True,-17074.0,4757.82996647623
2020-04-05,True,855.0,3550.2680213270482
2020-04-06,True,2654.0,2831.3786441972834
2020-04-07,True,-3491.0,4113.696986348145
2020-04-08,True,3855.0,3125.3462323088015
2020-04-09,True,3784.0,5854.261113914875
2020-04-10,True,1565.0,5447.360514724195
2020-04-11,True,1445.0,4862.5485746979375
2020-04-12,True,50746.0,3654.986634466486
2020-04-13,True,3141.0,2936.0972622591426
2020-04-14,True,17448.0,4218.415609327086
2020-04-15,True,3208.0,3230.064860207727
